行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,經度,緯度,總價
松山區,39.12,183.67,14.97361342,12,13,0,3,2,2,1,坡道平面,2019/11/2,121.5635,25.054632,2950
信義區,35.58,92.59,48.90723287,3,3,0,2,2,1,0,無,2019/10/15,121.567122,25.045724,1600
松山區,20.27,126.01,35.86658179,2,7,0,3,1,2,1,無,2019/5/13,121.556883,25.052076,2401
松山區,30.33,106.12,37.54218088,5,5,0,3,2,2,0,無,2019/7/10,121.566331,25.061713,2300
松山區,31.7,110.93,37.54218088,5,5,0,3,2,2,0,無,2019/7/10,121.566331,25.061713,2500
信義區,26.8,91.4,40.86873789,5,5,0,3,2,1,0,無,2019/10/20,121.564369,25.022549,1200
信義區,5.63,40.06,14.42876993,6,11,1,1,1,1,1,無,2019/11/4,121.581199,25.043212,1440
信義區,32.5,88.77,49.28780194,4,4,0,3,2,1,0,無,2019/10/8,121.577361,25.036818,1100
信義區,51.76,297.39,25.9060761,7,15,0,3,2,2,1,坡道平面,2019/10/28,121.573759,25.016588,1200
信義區,37.04,123.93,39.44776416,5,6,0,3,2,2,1,無,2019/10/31,121.575071,25.017833,2375
松山區,27.33,139.31,39.61751439,2,7,0,3,2,2,1,無,2019/7/30,121.547222,25.058897,3150
信義區,26.15,190.7,2.113664209,2,9,0,3,2,2,1,坡道平面,2019/10/19,121.573759,25.016588,3360
松山區,9.48,58.89,33.59959479,3,7,0,1,1,1,1,無,2019/10/26,121.547884,25.053478,1256
文山區,6.13,46.27,16.41375251,7,10,0,1,1,1,1,無,2019/10/19,121.544128,24.992544,870
文山區,24.94,131.42,11.28565268,3,15,0,2,2,1,1,坡道平面,2019/10/6,121.563066,24.99645,1900
文山區,15.18,103.99,22.29203885,8,9,0,2,1,1,1,升降平面,2019/10/19,121.538744,25.004389,1500
文山區,33.23,229.03,11.96465362,5,10,0,2,2,2,1,坡道平面,2019/9/18,121.57973,24.985902,1900
文山區,20.67,167.59,-1.850825137,9,14,0,3,2,2,1,坡道平面,2017/4/13,121.561668,24.984492,2711
文山區,38.03,323.09,-1.672861181,10,14,0,4,3,2,1,坡道平面,2017/6/17,121.561668,24.984492,4988
文山區,38.03,323.09,0.101302559,5,14,0,4,2,3,1,坡道平面,2019/3/27,121.561668,24.984492,4850
文山區,48,82.35,36.26357831,6,7,0,2,1,1,1,無,2019/11/1,121.572665,24.999678,1042
文山區,31.98,88.69,39.5052602,2,4,0,3,2,1,0,無,2019/10/21,121.561222,24.985287,1120
文山區,82.14,217.47,20.14551976,10,22,0,4,2,2,1,坡道平面,2019/10/1,121.554307,24.989779,2550
松山區,39.58,125,32.99725525,4,5,0,3,2,2,0,無,2019/10/19,121.568646,25.056324,2020
松山區,31.05,128.44,27.61179217,7,7,0,3,2,2,1,無,2019/10/13,121.565416,25.055168,2525
松山區,9.36,128.74,1.078735361,6,18,1,3,2,2,1,無,2019/11/1,121.577709,25.050886,2880
信義區,3.94,42.99,11.15149524,5,18,0,1,1,1,1,無,2019/10/17,121.557843,25.048199,1220
信義區,16.26,198.24,24.99709097,9,23,0,4,2,2,1,坡道平面,2019/10/20,121.57785,25.039546,4480
大安區,30,114.75,34.6180962,4,5,0,3,2,1,0,無,2019/8/10,121.551113,25.026146,2256
大安區,9.29,56.17,11.67991129,8,10,0,1,1,1,1,塔式車位,2019/8/2,121.529142,25.022438,2020
大安區,29.81,84.29,37.83239902,5,5,0,3,1,1,0,無,2019/10/30,121.528198,25.023946,2020
文山區,22,89.28,37.4709953,5,6,0,3,2,1,0,無,2019/11/5,121.539868,24.999671,888
大安區,27.27,87.24,35.84741644,2,5,0,3,2,1,0,無,2019/8/20,121.530925,25.022301,1968
信義區,19.65,111.73,10.17953825,7,7,0,2,1,1,1,升降機械,2019/10/15,121.568555,25.041911,2388
松山區,34.27,132.99,29.38869381,7,9,0,4,2,2,1,無,2019/10/13,121.552744,25.054652,3468
信義區,35.8,151.21,18.96821974,8,9,0,3,2,2,1,坡道平面,2019/10/16,121.563743,25.026567,3050
信義區,13.51,87.97,35.30257295,14,15,1,2,2,1,1,無,2019/9/27,121.577809,25.04803,1450
信義區,8.86,67.66,12.82435642,16,19,0,1,1,1,1,坡道機械,2019/10/26,121.574568,25.033567,1500
松山區,11.24,136.45,12.14809339,2,15,1,3,2,2,1,坡道機械,2019/9/16,121.577709,25.050886,2575
信義區,74.54,276.68,13.45955085,9,18,0,3,2,2,1,坡道平面,2019/8/30,121.57302,25.034062,8888
松山區,3.06,31.8,12.92839689,6,13,1,2,1,1,1,無,2019/7/28,121.546869,25.048217,1110
大安區,27.89,166.31,13.93047085,8,10,0,3,2,2,1,塔式車位,2019/10/10,121.554289,25.033089,3750
大安區,16.88,80.63,24.15655352,5,8,0,1,1,1,1,升降機械,2019/10/20,121.55957,25.032998,1400
大安區,8.53,30.64,12.41367037,2,5,0,1,1,1,1,無,2019/10/22,121.52477,25.02535,890
大安區,13.12,86.96,32.64406524,12,12,0,3,2,2,1,無,2019/10/9,121.539378,25.035563,2372
信義區,28.17,112.24,35.86384388,5,5,0,3,2,2,0,無,2019/9/15,121.561109,25.018438,1606
松山區,38,188.21,31.28606337,6,6,0,3,2,2,1,無,2019/9/19,121.547829,25.062545,3300
信義區,25.99,108.39,32.55371431,2,5,0,3,2,2,0,無,2019/8/26,121.573759,25.016588,1200
松山區,15.13,117.68,40.364963,10,15,0,3,2,2,1,無,2019/10/1,121.565942,25.059101,2550
松山區,4.12,41.91,11.72645571,5,14,0,1,1,1,1,無,2019/10/28,121.577709,25.050886,800
松山區,13.78,149.32,36.08013854,8,16,1,3,2,2,1,無,2019/10/14,121.565942,25.059101,3218
文山區,52.84,229.58,3.047290499,2,10,0,4,2,2,1,坡道平面,2019/11/5,121.558452,24.993201,3400
文山區,40.1,72.86,22.94092281,3,17,0,2,2,1,1,無,2019/9/4,121.564429,24.991365,770
文山區,44.88,96.49,47.09473843,3,4,0,4,2,2,0,無,2019/10/20,121.568496,24.989922,1280
文山區,19.45,79.35,36.19786854,4,5,0,3,2,1,0,無,2019/10/13,121.574791,24.991402,1120
文山區,29.29,129.25,35.13829853,3,5,0,3,2,2,0,無,2019/10/20,121.562835,24.995292,1050
文山區,29.91,92.72,24.4193926,5,9,0,2,2,1,1,無,2019/10/11,121.555049,25.002732,1350
文山區,25.89,91.71,25.1257726,5,14,0,3,2,2,1,無,2019/10/18,121.540388,24.996573,1920
文山區,27.73,72.5,9.224008707,1,5,0,1,1,1,1,坡道機械,2019/10/20,121.587029,24.988418,990
文山區,25.92,49.55,36.21155807,5,7,0,1,1,1,1,無,2019/10/13,121.569911,25.001137,548
文山區,13.37,29.15,23.08876979,6,17,0,1,0,1,1,無,2019/10/28,121.564429,24.991365,370
信義區,11.82,110.61,1.106114431,2,16,0,2,1,1,1,坡道平面,2019/10/2,121.580975,25.043951,2556
松山區,27.81,108.51,17.68961717,11,18,0,2,2,1,1,無,2019/10/18,121.555448,25.055571,2380
松山區,3.37,34.36,38.92756183,9,12,0,1,1,1,1,無,2019/10/13,121.546869,25.048217,795
大安區,33.83,134.38,12.72579177,2,6,0,2,2,2,1,升降平面,2019/10/22,121.523258,25.028881,3750
大安區,15.66,55.92,16.83812809,4,6,0,1,0,1,1,無,2019/10/18,121.532059,25.032453,1600
大安區,10.3,51.61,11.73466943,10,12,0,1,1,1,1,無,2019/10/20,121.543131,25.030358,1873
大安區,8.35,42.81,12.16178293,6,10,0,1,1,1,1,無,2019/11/9,121.529682,25.032855,1500
大安區,34.35,165.12,0.4298514,6,7,0,3,2,2,1,其他,2019/10/4,121.524311,25.035459,4720
大安區,33.63,162.22,0.4298514,6,7,0,3,2,2,1,其他,2019/10/4,121.524311,25.035459,4638
文山區,20.1,80.3,20.44942744,4,13,0,2,2,1,1,無,2019/10/21,121.549906,25.00137,1287
文山區,2.04,23.81,9.796231271,14,15,0,1,1,1,1,無,2019/8/15,121.544491,24.998448,425
松山區,35,95.43,48.78676496,3,4,0,3,2,2,0,無,2019/10/1,121.566331,25.061713,1780
大安區,17.27,235.36,3.299177943,16,25,0,4,2,2,1,坡道機械,2019/11/8,121.526353,25.022304,6768
文山區,3.71,45.39,23.81157724,11,24,0,1,1,1,1,無,2019/10/27,121.544491,24.998448,578
文山區,31,217.3,5.829004018,5,12,0,3,2,2,1,坡道平面,2019/9/17,121.564754,24.984622,2566
文山區,20.1,81.05,20.45216534,7,13,0,2,2,1,1,無,2019/10/22,121.549906,25.00137,1280
大安區,24.2,124.67,33.4873406,4,16,0,3,2,2,1,無,2019/10/10,121.537532,25.033481,2600
大安區,6.52,82.76,30.77955057,3,12,1,3,2,1,1,無,2019/10/1,121.525927,25.026778,2002
松山區,6.46,32.87,41.99675558,6,7,0,1,1,1,1,無,2019/10/18,121.556236,25.04741,698
松山區,23.74,151.39,31.17654709,10,12,0,3,2,1,1,無,2019/10/20,121.577709,25.050886,1905
松山區,3.81,46.63,35.83920272,6,16,1,1,1,1,1,無,2019/10/31,121.565942,25.059101,860
松山區,26.38,130.82,38.67841229,3,7,0,4,2,2,1,無,2019/6/28,121.52288,25.06846,2350
松山區,3.84,55.24,0.908985126,18,18,1,1,1,1,1,無,2019/8/31,121.577709,25.050886,1320
松山區,7.21,116.66,0.96921908,17,18,1,2,2,1,1,坡道機械,2019/9/22,121.577709,25.050886,2550
文山區,65.9,272.31,7.923502878,10,12,0,4,2,2,1,坡道平面,2019/9/26,121.562105,24.99656,3470
文山區,68.77,175.86,6.625734957,4,5,0,3,2,2,1,坡道平面,2019/9/17,121.57973,24.985902,2968
文山區,149.94,226.29,1.598937692,4,5,0,4,2,2,1,坡道平面,2019/10/7,121.568548,24.993169,3558
文山區,156.75,262.42,1.612627227,1,5,0,4,2,2,1,坡道平面,2019/10/12,121.568548,24.993169,4300
文山區,27.16,128.1,7.173316358,7,14,0,3,2,2,1,無,2019/10/30,121.550167,25.006906,2020
文山區,30.29,149.54,19.81697092,11,11,0,2,2,1,1,坡道平面,2017/4/17,121.549906,25.00137,1470
文山區,28.15,226.36,6.817388447,2,15,0,3,2,2,1,坡道平面,2019/10/29,121.565462,24.985638,4168
文山區,21.97,87.8,20.40835883,3,13,0,3,2,2,1,無,2019/10/6,121.549906,25.00137,1600
文山區,40.71,206.17,13.5581155,7,12,0,3,2,2,1,升降平面,2019/10/20,121.557059,24.984676,2718
松山區,5.1,47.47,38.98779578,10,12,0,1,1,1,1,無,2019/11/4,121.546869,25.048217,1045
信義區,6.12,42.29,14.39865295,6,11,1,1,1,1,1,無,2019/10/24,121.581199,25.043212,1600
信義區,68.07,267.98,20.24682232,3,11,0,3,2,2,1,坡道平面,2019/11/4,121.574082,25.037729,7800
信義區,17.15,159.47,29.01360055,8,12,0,3,2,2,1,坡道平面,2019/10/27,121.581209,25.042965,2500
松山區,3.69,33.86,13.013272,9,13,1,1,1,1,1,無,2019/11/15,121.577709,25.050886,950
信義區,14.18,82.77,37.74204809,6,7,0,2,2,1,1,無,2019/9/25,121.561127,25.031009,2000
